Month	Incidence	Year
1	6	2010
2	26	2010
3	15	2010
4	35	2010
5	54	2010
6	78	2010
7	129	2010
8	105	2010
9	87	2010
10	32	2010
11	6	2010
12	33	2010
1	2	2011
2	6	2011
3	29	2011
4	41	2011
5	57	2011
6	91	2011
7	72	2011
8	77	2011
9	69	2011
10	64	2011
11	13	2011
12	5	2011
1	12	2012
2	29	2012
3	27	2012
4	26	2012
5	72	2012
6	79	2012
7	56	2012
8	58	2012
9	51	2012
10	67	2012
11	12	2012
12	10	2012
1	17	2013
2	38	2013
3	65	2013
4	78	2013
5	44	2013
6	46	2013
7	33	2013
8	48	2013
9	52	2013
10	61	2013
11	44	2013
12	20	2013
1	0	2014
2	0	2014
3	44	2014
4	77	2014
5	67	2014
6	74	2014
7	81	2014
8	72	2014
9	93	2014
10	36	2014
11	20	2014
12	17	2014
1	23	2015
2	29	2015
3	50	2015
4	55	2015
5	79	2015
6	82	2015
7	65	2015
8	88	2015
9	105	2015
10	38	2015
11	38	2015
12	29	2015
1	38	2016
2	51	2016
3	58	2016
4	53	2016
5	83	2016
6	89	2016
7	89	2016
8	92	2016
9	130	2016
10	206	2016
11	134	2016
12	78	2016
1	75	2017
2	47	2017
3	49	2017
4	59	2017
5	41	2017
6	71	2017
7	57	2017
8	40	2017
9	101	2017
10	43	2017
11	25	2017
12	40	2017
1	22	2018
2	15	2018
3	21	2018
4	32	2018
5	69	2018
6	67	2018
7	46	2018
8	35	2018
9	47	2018
10	88	2018
11	26	2018
12	12	2018
1	31	2019
2	19	2019
3	29	2019
4	37	2019
5	66	2019
6	96	2019
7	71	2019
8	44	2019
9	99	2019
10	69	2019
11	47	2019
12	30	2019
1	28	2020
2	18	2020
3	25	2020
4	32	2020
5	76	2020
6	117	2020
7	55	2020
8	43	2020
9	64	2020
10	85	2020
11	31	2020
12	14	2020
1	20	2021
2	35	2021
3	45	2021
4	85	2021
5	128	2021
6	117	2021
7	142	2021
8	156	2021
9	171	2021
10	193	2021
11	78	2021
12	32	2021
1	60	2022
2	60	2022
3	114	2022
4	134	2022
5	145	2022
6	139	2022
7	153	2022
8	111	2022
9	103	2022
10	111	2022
11	122	2022
12	70	2022
1	44	2023
2	46	2023
3	83	2023
4	85	2023
5	99	2023
6	87	2023
7	94	2023
8	73	2023
9	56	2023
10	36	2023
11	14	2023
12	20	2023
