Month	Incidence	Year
1	5	2010
2	18	2010
3	13	2010
4	29	2010
5	48	2010
6	59	2010
7	91	2010
8	81	2010
9	67	2010
10	28	2010
11	5	2010
12	25	2010
1	2	2011
2	6	2011
3	28	2011
4	40	2011
5	57	2011
6	87	2011
7	72	2011
8	76	2011
9	69	2011
10	64	2011
11	13	2011
12	5	2011
1	12	2012
2	24	2012
3	26	2012
4	23	2012
5	58	2012
6	65	2012
7	48	2012
8	51	2012
9	49	2012
10	57	2012
11	11	2012
12	11	2012
1	17	2013
2	37	2013
3	63	2013
4	80	2013
5	46	2013
6	46	2013
7	32	2013
8	47	2013
9	51	2013
10	58	2013
11	43	2013
12	20	2013
1	0	2014
2	0	2014
3	40	2014
4	68	2014
5	61	2014
6	68	2014
7	75	2014
8	66	2014
9	90	2014
10	33	2014
11	18	2014
12	17	2014
1	17	2015
2	27	2015
3	43	2015
4	45	2015
5	65	2015
6	61	2015
7	55	2015
8	76	2015
9	88	2015
10	31	2015
11	28	2015
12	24	2015
1	35	2016
2	49	2016
3	52	2016
4	50	2016
5	79	2016
6	83	2016
7	76	2016
8	87	2016
9	113	2016
10	172	2016
11	111	2016
12	70	2016
1	70	2017
2	44	2017
3	47	2017
4	54	2017
5	39	2017
6	66	2017
7	53	2017
8	38	2017
9	91	2017
10	40	2017
11	23	2017
12	36	2017
1	17	2018
2	14	2018
3	19	2018
4	31	2018
5	66	2018
6	62	2018
7	44	2018
8	33	2018
9	47	2018
10	79	2018
11	24	2018
12	12	2018
1	16	2019
2	11	2019
3	23	2019
4	32	2019
5	72	2019
6	85	2019
7	95	2019
8	51	2019
9	90	2019
10	65	2019
11	31	2019
12	24	2019
1	23	2020
2	13	2020
3	21	2020
4	23	2020
5	64	2020
6	97	2020
7	44	2020
8	33	2020
9	53	2020
10	72	2020
11	26	2020
12	13	2020
1	5	2021
2	9	2021
3	23	2021
4	47	2021
5	78	2021
6	60	2021
7	69	2021
8	79	2021
9	130	2021
10	147	2021
11	57	2021
12	26	2021
1	42	2022
2	50	2022
3	99	2022
4	100	2022
5	113	2022
6	105	2022
7	88	2022
8	83	2022
9	70	2022
10	70	2022
11	78	2022
12	47	2022
1	32	2023
2	31	2023
3	47	2023
4	59	2023
5	78	2023
6	62	2023
7	64	2023
8	41	2023
9	38	2023
10	18	2023
11	8	2023
12	6	2023
